DATE,Potato_min,Potato_max,Onion_min,Onion_max,Garlic_min,Garlic_max,Chili_min,Chili_max,Ginger_min,Ginger_max,Egg_min,Egg_max,Natural_disaster,Polytical_issue
2022-01-02 00:00:00,12,18,25,35,40,70,150,180,80,140,35,38,0,1
2022-01-16 00:00:00,15,20,35,45,40,70,150,180,80,140,35,38,0,1
2022-01-23 00:00:00,15,18,30,35,40,80,150,180,80,140,35,40,0,1
2022-01-27 00:00:00,15,18,25,35,40,70,150,180,80,140,35,38,0,1
2022-01-30 00:00:00,12,18,25,35,40,70,150,180,80,140,35,37,0,1
2022-02-01 00:00:00,18,25,35,50,40,70,150,180,90,140,33,35,0,1
2022-02-20 00:00:00,15,20,45,50,30,60,150,180,80,120,36,40,0,1
2022-02-27 00:00:00,15,18,45,50,30,60,150,180,80,120,36,40,0,1
2022-03-25 00:00:00,18,22,30,40,40,60,170,200,90,140,35,36,0,0
2022-04-03 00:00:00,14,20,50,60,30,60,150,180,90,120,36,40,0,0
2022-04-16 00:00:00,16,20,25,35,40,60,180,200,90,140,32,35,0,0
2022-04-19 00:00:00,16,20,25,30,40,60,180,200,90,140,32,35,0,0
2022-04-26 00:00:00,16,20,30,35,50,60,180,200,90,140,33,36,0,0
2022-05-05 00:00:00,16,20,30,35,50,80,180,200,90,140,34,36,0,0
2022-05-06 00:00:00,18,25,35,40,80,120,200,280,90,140,40,43,0,0
2022-05-16 00:00:00,18,22,40,45,60,120,170,220,100,140,36,42,0,0
2022-05-29 00:00:00,20,25,35,40,80,120,190,280,100,140,38,43,0,0
2022-06-21 00:00:00,22,25,35,45,50,80,320,380,90,120,40,42,0,0
2022-07-14 00:00:00,28,30,45,50,65,80,260,300,70,100,40,42,0,0
2022-07-21 00:00:00,25,30,40,45,60,80,220,300,80,120,40,42,0,0
2022-07-22 00:00:00,25,30,40,45,60,80,220,300,120,140,40,42,0,0
2022-08-01 00:00:00,20,25,40,50,40,70,150,180,80,140,35,37,0,0
2022-08-02 00:00:00,15,20,25,35,40,60,150,180,80,120,35,38,0,0
2022-08-12 00:00:00,22,25,40,50,70,80,370,400,130,180,38,40,0,0
2022-08-14 00:00:00,26,30,45,50,60,80,320,350,120,140,50,55,0,0
2022-08-22 00:00:00,26,30,45,55,70,90,300,360,120,140,40,45,0,0
2022-09-01 00:00:00,20,25,40,50,40,70,150,180,80,140,35,37,0,0
2022-09-05 00:00:00,16,20,30,40,50,80,180,200,90,140,35,37,0,0
2022-11-02 00:00:00,15,20,25,35,40,60,150,180,80,120,35,37,0,0
2022-11-03 00:00:00,18,20,55,65,40,70,150,200,90,140,36,38,0,0
2022-11-15 00:00:00,22,28,50,55,70,90,350,400,220,240,43,48,0,0
2022-12-15 00:00:00,22,30,45,55,70,80,370,400,120,150,36,38,0,0
2023-01-01 00:00:00,16,22,35,48,75,80,370,400,120,140,35,38,0,0
2023-01-12 00:00:00,42,45,105,125,200,230,380,420,230,250,38,42,0,0
2023-01-15 00:00:00,22,25,35,45,100,120,350,410,150,180,40,43,0,0
2023-02-07 00:00:00,35,40,80,85,120,140,400,420,350,400,45,48,0,0
2023-02-13 00:00:00,20,25,30,40,120,140,370,450,150,180,44,47,0,0
2023-02-28 00:00:00,18,22,25,35,100,130,380,410,180,180,42,45,0,0
2023-03-02 00:00:00,25,30,30,40,120,140,380,450,150,180,43,47,0,0
2023-03-16 00:00:00,16,20,25,35,100,120,390,430,150,180,40,45,0,0
2023-03-27 00:00:00,20,25,35,45,90,120,390,440,220,240,45,47,0,0
2023-04-03 00:00:00,19,22,25,35,95,120,320,430,160,180,42,45,0,0
2023-04-18 00:00:00,28,30,30,40,100,120,400,440,220,230,42,45,0,0
2023-05-24 00:00:00,40,42,70,75,130,160,400,440,320,340,45,50,1,0
2023-06-04 00:00:00,22,25,30,40,80,100,400,440,220,240,42,45,1,0
2023-06-10 00:00:00,45,50,80,90,180,220,380,420,420,450,48,50,1,0
2023-06-14 00:00:00,35,38,75,80,120,140,400,440,340,350,46,48,1,0
2023-06-26 00:00:00,35,40,65,70,120,160,400,420,350,400,45,48,1,0
2023-07-26 00:00:00,36,40,60,65,200,250,400,430,350,400,48,50,1,0
2023-08-17 00:00:00,36,40,65,80,220,240,400,420,350,400,53,55,1,0
2023-08-21 00:00:00,36,42,80,90,220,250,400,420,350,400,50,53,1,0
2023-09-11 00:00:00,45,50,130,135,180,220,380,420,250,300,45,50,0,0
2023-09-20 00:00:00,45,50,70,80,180,220,380,420,420,450,48,50,0,0
2023-10-09 00:00:00,42,45,80,90,220,250,380,420,420,450,50,55,1,0
2023-10-12 00:00:00,45,55,180,190,200,250,380,420,250,300,40,43,1,0
2023-10-28 00:00:00,52,55,95,105,180,220,380,420,250,300,50,52,1,0
2023-11-01 00:00:00,22,25,30,45,120,130,350,410,150,200,40,45,0,0
2023-11-05 00:00:00,35,40,60,65,140,160,400,440,320,350,45,50,0,0
2023-11-07 00:00:00,40,45,65,80,120,170,400,420,320,350,46,50,0,0
2023-11-11 00:00:00,45,50,125,130,200,220,380,420,250,300,43,45,0,0
2023-11-12 00:00:00,50,55,120,180,200,250,380,420,250,300,42,43,0,0
2023-11-18 00:00:00,45,50,100,125,200,230,380,420,250,300,42,45,0,0
2023-11-26 00:00:00,42,45,110,120,200,230,380,420,250,260,40,43,0,0
2023-12-15 00:00:00,45,55,90,160,250,270,390,450,250,300,42,45,0,0
2023-12-20 00:00:00,55,65,100,110,240,260,390,450,250,300,43,45,0,0
2023-12-24 00:00:00,60,70,100,120,220,240,390,450,250,500,43,45,0,0
2023-12-30 00:00:00,55,65,85,100,220,260,390,450,250,280,42,45,0,0
2024-01-01 00:00:00,55,65,80,100,220,260,390,450,250,280,42,45,0,0
2024-01-13 00:00:00,50,60,80,100,220,260,390,450,250,280,42,45,0,0
2024-01-15 00:00:00,50,60,70,90,220,260,390,450,250,280,42,45,0,0
2024-01-15 00:00:00,50,60,70,90,220,260,390,450,250,280,42,45,0,0
2024-01-24 00:00:00,40,45,80,90,260,280,380,420,250,280,43,45,0,0
2024-01-27 00:00:00,40,50,75,90,240,280,380,420,250,280,43,47,0,0
2024-01-29 00:00:00,40,50,90,100,200,260,380,420,250,280,45,48,0,0
2024-02-06 00:00:00,50,60,75,85,200,220,320,400,400,450,50,55,0,0
2024-02-07 00:00:00,56,65,95,100,180,210,320,400,450,500,48,54,0,0
2024-02-11 00:00:00,55,65,130,150,220,260,250,350,450,500,48,52,0,0
2024-02-13 00:00:00,28,35,100,110,140,240,380,420,250,270,44,47,0,0
2024-02-16 00:00:00,26,30,90,120,140,250,380,420,250,280,45,48,0,0
2024-02-22 00:00:00,25,30,110,120,140,250,380,420,250,280,44,47,0,0
2024-02-25 00:00:00,25,30,110,120,140,250,420,450,250,280,43,47,0,0
2024-02-27 00:00:00,25,30,110,120,140,250,420,450,250,280,43,47,0,0
2024-02-29 00:00:00,25,35,110,120,140,250,420,440,250,280,43,47,0,0
2024-03-01 00:00:00,55,65,80,90,220,240,390,450,250,280,42,45,0,0
2024-03-02 00:00:00,38,45,80,90,180,220,380,420,250,280,45,50,0,0
2024-03-09 00:00:00,52,60,110,120,200,230,320,400,450,500,50,53,0,0
2024-03-12 00:00:00,75,80,115,130,230,280,300,350,450,500,48,50,0,0
2024-03-16 00:00:00,35,40,70,90,130,150,380,450,250,280,40,45,0,0
2024-03-18 00:00:00,35,40,60,80,110,120,380,450,250,280,40,45,0,0
2024-03-20 00:00:00,40,45,60,70,100,120,380,450,250,280,40,45,0,0
2024-03-27 00:00:00,38,40,60,70,120,140,380,450,240,260,40,43,0,0
2024-03-30 00:00:00,40,45,50,60,120,130,360,370,240,250,40,43,0,0
2024-04-01 00:00:00,55,65,80,90,220,240,390,450,250,280,42,45,0,0
2024-04-02 00:00:00,35,45,85,100,160,240,380,420,250,280,45,48,0,0
2024-04-03 00:00:00,25,30,110,120,140,160,380,450,250,280,40,45,0,0
2024-04-05 00:00:00,50,55,65,75,170,210,350,440,400,450,40,42,0,0
2024-04-07 00:00:00,56,65,95,100,180,210,320,400,450,500,48,52,0,0
2024-04-11 00:00:00,60,65,130,150,220,260,250,350,450,500,48,52,0,0
2024-04-18 00:00:00,45,50,60,65,130,170,350,480,280,300,40,42,0,0
2024-04-24 00:00:00,50,55,60,65,150,180,350,480,300,350,40,42,0,0
2024-05-14 00:00:00,48,55,65,75,190,210,350,440,400,450,47,50,1,0
2024-05-17 00:00:00,48,55,65,75,190,220,320,400,400,450,48,50,1,0
2024-05-24 00:00:00,48,55,70,75,190,220,320,400,400,450,48,50,1,0
2024-05-28 00:00:00,50,55,70,75,200,220,320,400,400,450,48,52,1,0
2024-06-01 00:00:00,55,65,80,90,220,240,390,450,250,280,42,45,1,0
2024-06-02 00:00:00,30,40,85,100,140,260,380,420,250,280,46,48,1,0
2024-06-03 00:00:00,25,30,100,120,140,160,380,450,250,280,43,45,1,0
2024-06-04 00:00:00,40,45,45,50,120,130,360,370,240,250,40,43,1,0
2024-06-09 00:00:00,52,60,110,120,200,240,300,350,450,500,55,53,1,0
2024-06-10 00:00:00,50,60,105,115,210,220,280,350,450,500,58,60,1,0
2024-06-14 00:00:00,55,60,85,90,200,220,320,400,400,450,53,54,1,0
2024-06-20 00:00:00,55,60,85,90,200,220,320,400,400,450,52,54,1,0
2024-06-25 00:00:00,55,60,85,90,210,230,320,400,450,500,50,54,1,0
2024-06-26 00:00:00,55,60,90,95,200,230,320,400,450,500,50,54,1,0
2024-06-28 00:00:00,58,60,90,100,200,220,320,400,450,500,50,54,1,0
2024-07-06 00:00:00,55,60,80,85,190,220,320,400,400,450,50,52,1,1
2024-07-12 00:00:00,75,80,115,130,240,270,300,350,450,500,48,50,1,1
2024-07-16 00:00:00,56,65,110,120,200,220,320,400,450,500,46,50,1,1
2024-07-18 00:00:00,55,60,110,120,200,220,320,400,450,500,46,50,1,1
2024-07-18 00:00:00,55,60,110,120,200,220,320,400,450,500,46,50,1,1
2024-07-26 00:00:00,56,60,105,120,200,220,320,400,450,500,50,53,1,1
2024-08-01 00:00:00,60,65,85,95,220,240,390,450,250,280,42,45,1,1
2024-08-14 00:00:00,50,55,110,120,200,220,320,400,450,500,48,50,1,1
2024-08-17 00:00:00,50,55,110,120,200,220,320,400,450,500,48,50,1,1
2024-08-20 00:00:00,50,55,110,115,200,220,320,400,450,500,48,50,1,1
2024-08-21 00:00:00,50,55,105,115,200,220,320,400,450,500,48,50,1,1
2024-09-03 00:00:00,30,35,80,100,140,160,380,450,250,280,43,45,1,0
2024-09-04 00:00:00,45,50,55,65,120,150,350,480,280,320,40,42,1,0
2024-09-04 00:00:00,45,50,55,65,120,150,350,480,280,320,40,42,1,0
2024-09-10 00:00:00,50,60,110,120,210,220,280,350,450,500,50,55,1,0
2024-09-11 00:00:00,65,70,130,150,220,260,250,350,450,500,48,50,1,0
2024-09-13 00:00:00,50,60,110,120,200,240,300,350,450,500,52,53,1,0
2024-09-20 00:00:00,50,55,105,115,200,250,300,350,450,500,53,55,1,0
2024-09-28 00:00:00,50,55,105,115,210,220,300,350,450,500,53,55,1,0
2024-09-29 00:00:00,55,60,105,110,210,220,300,350,450,500,54,55,1,0
2024-10-08 00:00:00,55,60,110,120,200,220,320,400,450,500,48,52,1,0
2024-10-08 00:00:00,55,60,110,120,200,220,320,400,450,500,48,52,1,0
2024-10-09 00:00:00,52,60,110,120,200,240,300,350,450,500,52,55,1,0
2024-10-11 00:00:00,65,75,130,150,220,260,250,350,450,500,48,50,1,0
2024-10-12 00:00:00,65,80,110,130,240,270,250,320,450,500,45,50,1,0
2024-10-18 00:00:00,55,60,110,120,220,240,280,350,450,500,50,55,1,0
2024-10-21 00:00:00,55,60,110,130,220,240,280,350,450,500,48,52,1,0
2024-10-26 00:00:00,55,60,115,135,220,260,280,350,450,500,48,52,1,0
2024-10-28 00:00:00,55,60,130,150,220,260,280,350,450,500,48,52,1,0
2024-11-01 00:00:00,50,60,80,100,220,260,390,450,250,280,42,45,0,0
2024-11-05 00:00:00,50,55,65,80,170,220,350,440,400,450,45,47,0,0
2024-11-06 00:00:00,55,60,75,80,200,240,320,400,400,450,52,54,0,0
2024-11-07 00:00:00,56,65,105,120,220,230,320,400,450,500,45,50,0,0
2024-11-10 00:00:00,50,60,110,120,210,220,280,350,450,500,55,58,0,0
2024-11-11 00:00:00,65,75,130,150,240,270,250,350,450,500,48,50,0,0
2024-11-18 00:00:00,65,75,130,150,240,270,250,350,450,500,48,50,0,0
2024-11-19 00:00:00,65,75,130,140,240,270,250,350,450,500,48,50,0,0
2024-11-20 00:00:00,65,75,130,140,240,270,250,350,450,500,48,50,0,0
2024-11-26 00:00:00,75,80,115,130,230,280,250,350,450,500,45,50,0,0
2024-11-30 00:00:00,70,80,115,130,240,280,300,350,450,500,48,50,0,0
2024-12-11 00:00:00,65,75,130,150,240,270,250,350,450,500,48,50,0,0
2024-12-13 00:00:00,65,80,95,130,230,280,250,320,450,500,47,50,0,0
2024-12-15 00:00:00,65,80,80,125,230,280,250,320,450,500,47,50,0,0
2024-12-20 00:00:00,60,80,80,120,230,280,250,320,450,500,45,50,0,0
2024-12-23 00:00:00,50,75,70,110,230,280,250,320,450,500,45,50,0,0
2024-12-24 00:00:00,50,75,50,110,230,280,250,320,450,500,45,50,0,0
2024-12-30 00:00:00,50,65,60,85,230,270,250,320,450,500,45,50,0,0
2024-12-31 00:00:00,50,65,60,85,240,260,250,320,450,500,45,50,0,0
2025-01-15 00:00:00,30,50,50,70,220,260,200,300,200,250,44,50,0,0
2025-01-17 00:00:00,30,40,50,70,220,260,200,300,200,250,45,50,0,0
2025-01-24 00:00:00,20,35,45,60,230,260,250,300,200,250,44,48,0,0
2025-07-01 00:00:00,40,50,50,70,210,260,250,300,450,500,45,50,0,0
2025-08-01 00:00:00,40,50,50,70,210,260,250,300,250,300,45,50,0,0